urls,query,answer,topic,token
https://en.wikipedia.org/wiki/Yair_Yint_Aung,yair yint aung birthday,"August 18, 1993",birthday,1448
https://en.wikipedia.org/wiki/Tommy_Morgan,who played harmonica on the rockford files theme song,Tommy Morgan,son,868
https://en.wikipedia.org/wiki/Rural_Municipality_of_Minto-Odanah,"What was the population of the Rural Municipality of Minto-Odanah, Manitoba according to the 2021 Census?","1,121",population,286
https://en.wikipedia.org/wiki/Unglued,unglued set symbol,cracked egg,other,747
https://en.wikipedia.org/wiki/Camogie_Association,Who was ratified as president of the Camogie Association in April 2024?,Brian Molloy,other,2107
https://en.wikipedia.org/wiki/Cristian_Mijares,cristian mijares record,"59 wins, 9 losses, and 2 draws",record,3347
https://en.wikipedia.org/wiki/Tyson_Houseman,quil ateara actor,Tyson Houseman,actor,379
https://en.wikipedia.org/wiki/Afrotraction,afrotraction real name,Mzwandile Moya,real name,491
https://en.wikipedia.org/wiki/AAU_Junior_Olympic_Games,aau junior olympics 2025 city,"Houston, Texas",other,2624
https://en.wikipedia.org/wiki/Kevin_Abstract,kevin abstract hometown,"Corpus Christi, Texas",other,2299
https://en.wikipedia.org/wiki/Mudaliarpet_Assembly_constituency,Who was the Member of Legislative Assembly (MLA) for the Mudaliarpet constituency in Puducherry elected in 2021?,L. Sambath,other,317
https://en.wikipedia.org/wiki/Liao_Guoxun,"Who was the mayor of Tianjin as of December 30, 2021?",Liao Guoxun,other,952
https://en.wikipedia.org/wiki/K%C5%8Dki_(model),koki kimura height (cm),170 cm (5 ft 7 in),height,1033
https://en.wikipedia.org/wiki/Push_It_to_the_Limit_(Corbin_Bleu_song),corbin bleu jump in song,Push It to the Limit,son,803
https://en.wikipedia.org/wiki/John_Gottowt,john gottowt cause of death,murdered in 1942 by an SS officer,cause of death,1156
https://en.wikipedia.org/wiki/Eugene_Joseph,"Who was appointed Bishop of Varanasi on May 30, 2015?",Most Reverend Eugene Joseph,other,435
https://en.wikipedia.org/wiki/Albert_Bensimon,who owns shiels jewellers as of 2024,Albert Bensimon,other,605
https://en.wikipedia.org/wiki/%C3%8Ele_de_la_Cit%C3%A9,ile de la cite area in hectares,approximately 22.5 hectares (about 56 acres),area,2287
https://en.wikipedia.org/wiki/Speaker_of_the_National_Assembly_of_Botswana,"Who was the Speaker of the National Assembly of Botswana on November 7, 2024?",Dithapelo Keorapetse,other,424
https://en.wikipedia.org/wiki/Tyson_Kidd,tyson kidd full name,"Theodore James ""TJ"" Wilson",son,2184
https://en.wikipedia.org/wiki/Krutika_Desai_Khan,krutika desai husband name,Imtiaz Khan,husband,2363
https://en.wikipedia.org/wiki/Nathan_Hindmarsh,nathan hindmarsh height (cm),188 cm (6 ft 2 in),height,2104
https://en.wikipedia.org/wiki/Shivanarayanpur_railway_station,svrp station code,Shivanarayanpur Railway Station,other,141
https://en.wikipedia.org/wiki/Cuthwulf_(son_of_Cuthwine),unnamed wife of cuthwulf of wessex,Gwynhafar (also spelled Gwynhafar verch Clemen),wife,2038
https://en.wikipedia.org/wiki/Satish_Chakravarthy,leelai music director,Satish Chakravarthy,director,352
https://en.wikipedia.org/wiki/Allister_MacGillivray,who wrote out on the mira,Allister MacGillivray,other,1958
https://en.wikipedia.org/wiki/Ehud_Olmert,ehud olmert parents,Bella (born Wagman) and Mordechai Olmert,parents,2172
https://en.wikipedia.org/wiki/Tony_Hinchcliffe,tony hinchcliffe ethnicity,Italian descent,other,1944
"https://en.wikipedia.org/wiki/Dharampur,_Gujarat_Assembly_constituency","Who won the Dharampur, Gujarat seat in the 2022 Gujarat Legislative Assembly election?",Arvindbhai Chhotubhai Patel,other,"548,0"
https://en.wikipedia.org/wiki/Thirumathi_Palanisamy,thirumathi palanisamy release date,"October 25, 1992",release,1035
https://en.wikipedia.org/wiki/Pacencia_Laurel,jose p laurel wife,Pacencia Valencia Hidalgo Laurel,wife,738
https://en.wikipedia.org/wiki/Nedv%C4%9Bd,nedved name meaning,bear,other,311
https://en.wikipedia.org/wiki/Christopher_Edley_Jr.,christopher edley jr cause of death,complications from surgery,cause of death,700
https://en.wikipedia.org/wiki/Adam_Screeney,adam screeney date of birth,January 2005,date of birth,1328
https://en.wikipedia.org/wiki/Randy_Abbey,randy abbey date of birth,"January 6, 1974",date of birth,606
https://en.wikipedia.org/wiki/Air_Supply,Who was the lead guitarist for Air Supply as of 2011?,Aaron McLain,other,2560
https://en.wikipedia.org/wiki/Bernard_Belle,who is regina belle's brother,Bernard Belle,other,1219
https://en.wikipedia.org/wiki/Brit_%26_Alex,brit smith twin,Alex Smith,other,715
https://en.wikipedia.org/wiki/Samsung_Galaxy_J2_(2016),samsung j2 2016 processor,Spreadtrum SC8830 chipset (quad-core 1.5 GHz ARM Cortex-A7 CPU),other,312
https://en.wikipedia.org/wiki/Dikesh_Malhotra,dikesh malhotra father,Deepak Malhotra,father,942
https://en.wikipedia.org/wiki/2015_Indian_heat_wave,highest temperature in india 2015,"48.0°C (118.4°F) in Khammam, Telangana, on May 24, 2015",other,2064
https://en.wikipedia.org/wiki/Mukah_Polytechnic,politeknik mukah address,"KM 7.5, Jalan Oya, 96400 Mukah, Sarawak, Malaysia",address,622
https://en.wikipedia.org/wiki/Lord_Apex,lord apex real name,Shaeem Santino Wright,real name,973
https://en.wikipedia.org/wiki/Kojo_Funds,kojo funds real name,Errol Kojo Bellot,real name,1424
https://en.wikipedia.org/wiki/Triphosgene,triphosgene boiling point (°C),206 °C (acceptable range: anything between 203 and 206),other,505
https://en.wikipedia.org/wiki/First_K._Chandrashekar_Rao_ministry,first health minister of telangana,Dr. T. Rajaiah,first,1415
https://en.wikipedia.org/wiki/Victoria_Scone,victoria scone real name,Emily Diapre,real name,1111
https://en.wikipedia.org/wiki/Institute_of_Engineering_and_Technology,iet lucknow campus area in acres,100 acres,area,1192
https://en.wikipedia.org/wiki/Ram_Ram_Gangaram,ram ram gangaram movie release date,"March 5, 1977",release,634
https://en.wikipedia.org/wiki/Houdini_(software),houdini 18 release date,"November 27, 2019",release,2516
https://en.wikipedia.org/wiki/Kelsey_Kollen,jj putz wife,Kelsey Putz (née Kollen),wife,646
https://en.wikipedia.org/wiki/Khalil_Kain,khalil kain mother,June,mother,1604
https://en.wikipedia.org/wiki/Gavin_Williams_(baseball),gavin williams nickname,The Big Rig,other,1062
https://en.wikipedia.org/wiki/Bart_Gets_an_%22F%22,mayor quimby first appearance,"The Simpsons season 2 episode 'Bart Gets an \'F\'', October 11, 1990",first,2113
https://en.wikipedia.org/wiki/Shake_It_All_About_(album),little richard children's album,Shake It All About,children,535
https://en.wikipedia.org/wiki/Silvana_Flores,silvana flores height (meters),1.65 m (5 ft 5 in),height,624
https://en.wikipedia.org/wiki/Orthetrum_serapia,orthetrum serapia common name,green skimmer,other,293
https://en.wikipedia.org/wiki/Evangelista_Santos,evangelista santos record,21 wins and 18 losses,record,2634
https://en.wikipedia.org/wiki/Khadija_Mushtaq,"Who was the CEO of Roots IVY International Schools and Colleges before January 14, 2025?",Dr. Khadija Mushtaq,other,543
https://en.wikipedia.org/wiki/Kyle_Daukaus,"What was Kyle Daukaus' professional mixed martial arts record as of June 14, 2024?","15 wins, 4 losses, and 1 no contest",record,2704
"https://en.wikipedia.org/wiki/Paton,_Iowa","What was the population of Paton, Iowa according to the 2020 census?",221,population,"496,0"
https://en.wikipedia.org/wiki/Revolutionary_Goans_Party,revolutionary goans party symbol,football,other,486
https://en.wikipedia.org/wiki/Roach_Gigz,roach gigz real name,Orlando Rinaldi Campbell,real name,817
https://en.wikipedia.org/wiki/Ropz,ropz country,Estonia,other,2749
https://en.wikipedia.org/wiki/Muraddi,ramchandrapur dam which district,Purulia district,district,767
https://en.wikipedia.org/wiki/Reynaldo_Bautista,rey boom boom bautista record,"36 wins, 3 losses, and 0 draws",record,2414
https://en.wikipedia.org/wiki/Degrassi:_Next_Class,tiny degrassi actor,Richard Walters,actor,2135
https://en.wikipedia.org/wiki/Isaac_Maliyamungu,isaac maliyamungu death month and year,February 1984,other,2338
https://pt.wikipedia.org/wiki/Aline_Barros,aline barros nome completo,Aline Kistenmacker Barros dos Santos,other,2823
https://en.wikipedia.org/wiki/Anadevidia_peponis,snake gourd semilooper scientific name,Anadevidia peponis,other,321
